StockCode,StockAbbre,IndustryClassification
0619.HK,南華金融,證券
0620.HK,大唐西市,珠寶首飾
0621.HK,壇金礦業,貴金屬
0622.HK,威華達控股,證券
0623.HK,中視金橋,傳媒廣告
0626.HK,大眾金融控股,銀行
0627.HK,福晟國際,建築材料
0628.HK,國美金融科技,信貸
0629.HK,悅達礦業,其他金屬礦物
0630.HK,雋泰控股,醫療器械
0631.HK,三一國際,重型機械
0632.HK,東方明珠石油,油氣開採
0633.HK,中國全通,衛星及無線通訊
0635.HK,彩星集團,玩具
0636.HK,嘉裡物流,物流
0637.HK,利記,其他金屬礦物
0638.HK,建溢集團,家電
0639.HK,首鋼資源,煤炭
0640.HK,星謙發展,化工用品
0641.HK,中國恒天立信國際,電子元器件
0643.HK,恒富控股,服裝
0645.HK,安域亞洲,煤炭
0646.HK,中國環保科技,水務
0647.HK,Joyce Boutique,服裝配套
0648.HK,中國華仁醫療,醫療器械
0650.HK,IDG能源,油氣開採
0651.HK,中海重工,汽車零部件
0653.HK,卓悅控股,化妝品
0655.HK,香港華人有限公司,房地產
0656.HK,複星國際,綜合
0657.HK,環科國際,餐飲
0658.HK,中國高速傳動,通用設備
0659.HK,新創建集團,綜合
0660.HK,偉俊礦業集團,化肥
0661.HK,中國大冶有色金屬,銅
0662.HK,亞洲金融,保險
0663.HK,金山能源,貴金屬
0665.HK,海通國際,證券
0666.HK,新工投資,UNKNOWN
0668.HK,東銀國際控股,信貸
0669.HK,創科實業,家電
0670.HK,中國東方航空股份,航空運輸
0672.HK,眾安房產,房地產
0673.HK,中國衛生集團,其他
0674.HK,中國唐商,綜合
0675.HK,堅寶國際,電子元器件
0676.HK,創信國際,鞋類
0677.HK,金源米業,大米
0678.HK,雲頂香港,旅遊服務
0679.HK,亞洲聯網科技,電子元器件
0680.HK,南海控股,影視
0681.HK,中民控股,燃氣
0682.HK,超大現代,蔬菜
0683.HK,嘉裡建設,房地產
0684.HK,亞倫國際,家電
0685.HK,世界華文媒體,出版
0686.HK,熊貓綠能,新能源
0687.HK,香港國際建投,建築工程
0688.HK,中國海外發展,房地產
0689.HK,長盈集團,油氣開採
0690.HK,聯康生物科技集團,藥品
0691.HK,山水水泥,水泥
0692.HK,中國家居,傢俱家居
0693.HK,陳唱國際,汽車經銷
0694.HK,北京首都機場股份,航空運輸
0695.HK,東吳水泥,水泥
0696.HK,中國民航資訊網路,資訊化服務
0697.HK,Shougang Int'l,鋼鐵
0698.HK,通達集團,通信設備
0699.HK,神州租車,汽車租賃
0700.HK,騰訊控股,電商及互聯網
0701.HK,CNT Group,塗料
0702.HK,中國油氣控股,油氣開採
0703.HK,Future Bright,餐飲
0704.HK,和嘉資源,煤炭
0705.HK,鼎和礦業,其他金屬礦物
0706.HK,美麗中國控股,林業及木材
0707.HK,協盛協豐,紡織品
0708.HK,恒大健康,出版
0709.HK,佐丹奴國際,服裝配套
0710.HK,京東方精電,電腦設備
0711.HK,亞洲聯合基建控股,建築工程
0712.HK,卡姆丹克太陽能,新能源
0713.HK,世界,傢俱家居
0715.HK,中泛控股,地產投資
0716.HK,勝獅貨櫃,物流
0717.HK,英皇證券,證券
0718.HK,太和控股,資產管理
0719.HK,山東新華製藥股份,藥品
0720.HK,意達利控股,汽車經銷
0721.HK,中國金融國際,UNKNOWN
0722.HK,聯合醫務,健康管理
0723.HK,永保林業,林業及木材
0724.HK,瑞鑫國際集團,半導體
0725.HK,恒都集團,電子元器件
0726.HK,中民築友科技,房地產
0727.HK,皇冠環球集團,酒店
0728.HK,中國電信,通信服務
0729.HK,五龍電動車,新能源
0730.HK,Shougang Grand,融資租賃
0731.HK,森信紙業集團,紙製品
0732.HK,信利國際,電腦設備
0733.HK,合富輝煌,房地產服務
0735.HK,中國電力清潔能源,新能源
0736.HK,中國置業投資,地產投資
0737.HK,合和公路基建,公路運輸
0738.HK,賴爾斯丹,鞋類
0743.HK,亞洲水泥,水泥
0745.HK,中國國家文化產業,傳媒廣告
0746.HK,理文化工,化工用品
0747.HK,瀋陽公用發展股份,房屋建築
0750.HK,興業太陽能,幕牆
0751.HK,創維數碼,消費電子
0752.HK,Pico Far East,傳媒廣告
0753.HK,中國國航,航空運輸
0754.HK,合生創展集團,房地產
0755.HK,上海證大,房地產
0756.HK,森美控股,果汁飲料
0757.HK,陽光能源,新能源
0758.HK,Junefield Group,其他金屬礦物
0759.HK,CEC Int'l Hold,超市及便利店
0760.HK,新天地產集團,房地產
0761.HK,百營環球資源,煤炭
0762.HK,中國聯通,通信服務
0763.HK,中興通訊,通信設備
0764.HK,永恆策略,珠寶首飾
0765.HK,Perfectech Intl,玩具
0766.HK,中盈集團控股,信貸
0767.HK,Pacific Plywood,信貸
0768.HK,開明投資,UNKNOWN
0769.HK,中國稀土,其他金屬礦物
0770.HK,Shanghai Growth,UNKNOWN
0771.HK,自動系統,資訊化服務
0775.HK,長江生命科技,藥品
0776.HK,帝國集團環球控股,傢俱家居
0777.HK,網龍,軟體發展
0787.HK,利標品牌,童裝
0789.HK,領視控股,珠寶首飾
0794.HK,錦勝集團,紙製品
0798.HK,中電光穀,房地產
0799.HK,IGG,軟體發展
0800.HK,A8新媒體,音樂
0801.HK,金衛醫療,醫療器械
0802.HK,中國錢包,軟體發展
0803.HK,昌興國際,鋼鐵
0804.HK,鼎石資本,證券
0805.HK,Glencore-S,UNKNOWN
0806.HK,惠理集團,資產管理
0809.HK,大成生化科技,化肥
0810.HK,中國互聯網投資,UNKNOWN
0811.HK,新華文軒,出版
0812.HK,西證國際證券,證券
0813.HK,世茂房地產,房地產
0814.HK,北京京客隆,超市及便利店
0815.HK,中國白銀集團,貴金屬
0816.HK,華電福新,新能源
0817.HK,中國金茂,房地產
0818.HK,高陽科技,資訊化服務
0819.HK,天能動力,新能源
0821.HK,匯盈控股,證券
0822.HK,嘉瑞國際,電子元器件
0825.HK,新世界百貨中國,百貨商城
0826.HK,天工國際,鋼鐵
0827.HK,玖源集團,化肥
0828.HK,王朝酒業,葡萄酒
0829.HK,神冠控股,包裝食品
0830.HK,遠東環球,幕牆
0831.HK,利亞零售,超市及便利店
0832.HK,建業地產,房地產
0833.HK,華訊,家電
0834.HK,康大食品,肉製品
0835.HK,亞洲煤業,煤炭
0836.HK,華潤電力,電力
0837.HK,譚木匠,傢俱家居
0838.HK,億和控股,電子元器件
0840.HK,天業節水,電子元器件
0841.HK,木薯資源,新能源
0842.HK,理士國際,新能源
0844.HK,廣泰國際控股,內衣
0845.HK,恒盛地產,房地產
0846.HK,明發集團,房地產
0847.HK,哈薩克礦業－S,UNKNOWN
0848.HK,茂業國際,百貨商城
0850.HK,投融長富,電子元器件
0851.HK,盛源控股,資產管理
0852.HK,海峽石油化工,油氣開採
0853.HK,微創醫療,醫療器械
0854.HK,威雅利,半導體
0855.HK,中國水務,水務
0856.HK,偉仕佳傑,電腦設備
0857.HK,中國石油股份,油氣開採
0858.HK,精優藥業,藥品
0859.HK,鎮科集團,地產投資
0860.HK,奧立仕控股,珠寶首飾
0861.HK,神州控股,資訊化服務
0862.HK,遠見控股,資訊化服務
0863.HK,品牌中國,傳媒廣告
0864.HK,永利地產發展,地產投資
0865.HK,建德國際控股,房地產
0866.HK,中國秦發,煤炭
0867.HK,康哲藥業,醫藥商業
0868.HK,信義玻璃,電子元器件
0869.HK,彩星玩具,玩具
0871.HK,中國疏浚環保,建築工程
0872.HK,啟迪國際,汽車經銷
0873.HK,中國泰豐床品,傢俱家居
0874.HK,白雲山,中藥
0875.HK,中國金控,蔬菜
0876.HK,佳兆業健康,醫療器械
0877.HK,昂納科技集團,通信設備
0878.HK,金朝陽集團,地產投資
0880.HK,澳博控股,博彩
0881.HK,中升控股,汽車經銷
0882.HK,天津發展,綜合
0883.HK,中國海洋石油,油氣開採
0884.HK,旭輝控股集團,房地產
0885.HK,仁天科技控股,軟體發展
0886.HK,銀基集團,酒
0887.HK,英皇鐘錶珠寶,鐘錶
